,Background,,,,Body,,,,Skin,,,,Facial Shape,,,,
NFT id ,Blue,LightBlue,Orange,Pink,Orange,Regular,White,Yellow,Skull,SkullOrange,SkullRegular,SkullYellow,BluePin,LunaBluePin,Smiley,SmileYellow,AVERAGE RARITY, STATISTICAL RARITY, RARITY SCORE
23,25%,0,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
24,25%,0,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,25,0.390625,16
25,0,0,0,25%,0,25%,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
26,0,0,25%,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
27,0,0,25%,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,25,0.390625,16
28,25%,0,0,0,0,0,0,25%,25%,0,0,0,25%,0,0,0,25,0.390625,16
29,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,0,0,25%,25,0.390625,16
30,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
31,0,0,0,25%,25%,0,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
32,0,0,0,25%,25%,0,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
33,25%,0,0,0,25%,0,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
34,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
35,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
36,0,25%,0,0,0,0,0,25%,25%,0,0,0,0,25%,0,0,25,0.390625,16
37,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
38,0,25%,0,0,25%,0,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
39,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
40,25%,0,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
41,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
42,0,0,25%,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
43,25%,0,0,0,0,25%,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
44,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
45,0,0,25%,0,0,0,0,25%,25%,0,0,0,25%,0,0,0,25,0.390625,16
46,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,0,25%,25,0.390625,16
47,0,0,0,25%,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
48,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
49,0,0,25%,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,25,0.390625,16
50,0,0,0,25%,25%,0,0,0,25%,0,0,0,0,0,0,25%,25,0.390625,16
51,0,0,0,25%,25%,0,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
52,25%,0,0,0,0,0,0,25%,0,0,0,25%,25%,0,0,0,25,0.390625,16
53,0,0,25%,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
54,25%,0,0,0,0,0,0,25%,25%,0,0,0,0,0,0,25%,25,0.390625,16
55,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,0,25%,0,25,0.390625,16
56,0,25%,0,0,0,0,0,25%,25%,0,0,0,25%,0,0,0,25,0.390625,16
57,0,0,0,25%,0,25%,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
58,25%,0,0,0,0,0,0,25%,0,25%,0,0,0,25%,0,0,25,0.390625,16
59,0,25%,0,0,0,0,0,25%,0,25%,0,0,25%,0,0,0,25,0.390625,16
60,0,25%,0,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,25,0.390625,16
61,0,25%,0,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25,0.390625,16
62,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
63,25%,0,0,0,0,25%,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
64,0,0,0,25%,0,25%,0,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
65,0,0,25%,0,0,25%,0,0,0,0,0,25%,25%,0,0,0,25,0.390625,16
66,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
67,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
68,0,0,25%,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
69,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
70,0,25%,0,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
71,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
72,0,0,0,25%,0,25%,0,0,0,0,0,25%,0,25%,0,0,25,0.390625,16
73,25%,0,0,0,0,0,0,25%,0,0,25%,0,0,25%,0,0,25,0.390625,16
74,25%,0,0,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
75,25%,0,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,25,0.390625,16
76,0,25%,0,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,25,0.390625,16
77,0,25%,0,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
78,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,0,0,25%,25,0.390625,16
79,25%,0,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,25,0.390625,16
80,25%,0,0,0,0,25%,0,0,0,25%,0,0,0,0,0,25%,25,0.390625,16
81,0,0,0,25%,0,0,0,25%,0,25%,0,0,0,0,25%,0,25,0.390625,16
82,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,25%,0,25,0.390625,16
83,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,25%,0,0,25,0.390625,16
84,25%,0,0,0,0,0,0,25%,0,0,0,25%,0,25%,0,0,25,0.390625,16
85,0,0,0,25%,0,25%,0,0,0,0,25%,0,0,25%,0,0,25,0.390625,16
86,25%,0,0,0,0,25%,0,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
87,25%,0,0,0,0,0,25%,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
88,25%,0,0,0,0,0,0,25%,0,25%,0,0,0,0,0,25%,25,0.390625,16
89,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,0,25%,25,0.390625,16
90,0,0,25%,0,0,0,0,25%,0,25%,0,0,0,0,25%,0,25,0.390625,16
91,0,0,0,25%,0,0,25%,0,0,0,25%,0,0,0,0,25%,25,0.390625,16
92,0,0,0,25%,0,0,25%,0,0,0,0,25%,0,0,25%,0,25,0.390625,16
93,25%,0,0,0,0,0,25%,0,0,0,0,25%,0,0,0,25%,25,0.390625,16
94,25%,0,0,0,0,0,0,25%,0,0,0,25%,0,0,25%,0,25,0.390625,16
95,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,25,0.390625,16
96,0,0,25%,0,0,0,0,25%,0,0,25%,0,0,0,25%,0,25,0.390625,16
97,0,0,0,25%,0,0,0,25%,0,0,0,25%,0,0,0,25%,25,0.390625,16
98,0,0,25%,0,0,0,0,25%,0,0,0,25%,0,0,0,25%,25,0.390625,16
99,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,25%,0,25,0.390625,16
100,0,0,0,25%,0,0,0,25%,0,0,25%,0,0,0,0,25%,25,0.390625,16
